Stage,Date,OpenBugs
e,2005-12-20,0
e,  2005-12-21,1
e,  2005-12-22,2
e,  2005-12-23,5
e,  2005-12-24,7
e,  2005-12-25,7
e,  2005-12-26,7
e,  2005-12-27,8
e,  2005-12-28,11
e,  2005-12-29,11
e,  2005-12-30,7
e,  2005-12-31,7
e,  2006-01-01,7
e,  2006-01-02,9
e,  2006-01-03,11
e,  2006-01-04,13
e,  2006-01-05,18
e,  2006-01-06,17
e,  2006-01-07,19
e,  2006-01-08,19
e,  2006-01-09,19
e,  2006-01-10,22
e,  2006-01-11,21
e,  2006-01-12,22
e,  2006-01-13,26
e,  2006-01-14,29
e,  2006-01-15,29
e,  2006-01-16,30
e,  2006-01-17,29
e,  2006-01-18,29
e,  2006-01-19,28
e,  2006-01-20,30
e,  2006-01-21,32
e,  2006-01-22,33
e,  2006-01-23,35
e,  2006-01-24,35
e,  2006-01-25,37
e,  2006-01-26,41
e,  2006-01-27,43
e,  2006-01-28,46
e,  2006-01-29,46
e,  2006-01-30,46
e,  2006-01-31,45
e,  2006-02-01,44
e,  2006-02-02,48
e,  2006-02-03,48
e,  2006-02-04,48
e,  2006-02-05,49
e,  2006-02-06,50
e,  2006-02-07,51
e,  2006-02-08,54
e,  2006-02-09,57
e,  2006-02-10,58
l,2007-03-27,0
l,  2007-03-27,1
l,  2007-03-28,1
l,  2007-03-29,2
l,  2007-03-30,5
l,  2007-03-31,5
l,  2007-04-01,5
l,  2007-04-02,5
l,  2007-04-03,6
l,  2007-04-04,8
l,  2007-04-05,8
l,  2007-04-06,10
l,  2007-04-07,8
l,  2007-04-08,8
l,  2007-04-09,10
l,  2007-04-10,9
l,  2007-04-11,9
l,  2007-04-12,11
l,  2007-04-13,14
l,  2007-04-14,16
l,  2007-04-15,12
l,  2007-04-16,7
l,  2007-04-17,7
l,  2007-04-18,9
l,  2007-04-19,7
l,  2007-04-20,5
l,  2007-04-21,5
l,  2007-04-22,6
l,  2007-04-23,6
l,  2007-04-24,7
l,  2007-04-25,5
l,  2007-04-26,6
l,  2007-04-27,7
l,  2007-04-28,7
l,  2007-04-29,7
l,  2007-04-30,7
l,  2007-05-01,7
l,  2007-05-02,7
l,  2007-05-03,10
l,  2007-05-04,10
l,  2007-05-05,10
l,  2007-05-06,10
l,  2007-05-07,10
l,  2007-05-08,9
l,  2007-05-09,10
l,  2007-05-10,13
l,  2007-05-11,12
l,  2007-05-12,14
l,  2007-05-13,12
l,  2007-05-14,10
l,  2007-05-15,12
l,  2007-05-16,14
l,  2007-05-17,16
