Stage,Date,OpenBugs
e,2007-11-14,0
e,  2007-11-15,0
e,  2007-11-16,1
e,  2007-11-17,1
e,  2007-11-18,-3
e,  2007-11-19,-4
e,  2007-11-20,-4
e,  2007-11-21,0
e,  2007-11-22,1
e,  2007-11-23,4
e,  2007-11-24,4
e,  2007-11-25,3
e,  2007-11-26,2
e,  2007-11-27,4
e,  2007-11-28,6
e,  2007-11-29,6
e,  2007-11-30,6
e,  2007-12-01,5
e,  2007-12-02,4
e,  2007-12-03,4
e,  2007-12-04,4
e,  2007-12-05,5
e,  2007-12-06,4
e,  2007-12-07,3
e,  2007-12-08,0
e,  2007-12-09,0
e,  2007-12-10,-1
e,  2007-12-11,1
e,  2007-12-12,3
e,  2007-12-13,3
e,  2007-12-14,4
e,  2007-12-15,4
e,  2007-12-16,4
e,  2007-12-17,4
e,  2007-12-18,5
e,  2007-12-19,4
e,  2007-12-20,3
e,  2007-12-21,5
e,  2007-12-22,5
e,  2007-12-23,6
e,  2007-12-24,7
e,  2007-12-25,7
e,  2007-12-26,8
e,  2007-12-27,8
e,  2007-12-28,9
e,  2007-12-29,8
e,  2007-12-30,8
e,  2007-12-31,10
e,  2008-01-01,9
e,  2008-01-02,10
e,  2008-01-03,12
e,  2008-01-04,12
e,  2008-01-05,12
e,  2008-01-06,12
e,  2008-01-07,12
e,  2008-01-08,12
e,  2008-01-09,12
e,  2008-01-10,14
e,  2008-01-11,12
e,  2008-01-12,13
e,  2008-01-13,14
e,  2008-01-14,14
e,  2008-01-15,13
e,  2008-01-16,15
e,  2008-01-17,16
e,  2008-01-18,16
e,  2008-01-19,16
e,  2008-01-20,15
e,  2008-01-21,14
e,  2008-01-22,16
e,  2008-01-23,17
e,  2008-01-24,15
e,  2008-01-25,16
e,  2008-01-26,13
e,  2008-01-27,13
e,  2008-01-28,15
e,  2008-01-29,15
e,  2008-01-30,14
e,  2008-01-31,15
e,  2008-02-01,16
e,  2008-02-02,17
e,  2008-02-03,17
e,  2008-02-04,18
e,  2008-02-05,18
e,  2008-02-06,18
e,  2008-02-07,22
e,  2008-02-08,24
e,  2008-02-09,22
e,  2008-02-10,22
e,  2008-02-11,23
e,  2008-02-12,24
e,  2008-02-13,24
e,  2008-02-14,26
e,  2008-02-15,26
e,  2008-02-16,25
e,  2008-02-17,24
e,  2008-02-18,25
e,  2008-02-19,26
e,  2008-02-20,27
e,  2008-02-21,28
e,  2008-02-22,28
e,  2008-02-23,27
e,  2008-02-24,25
e,  2008-02-25,25
e,  2008-02-26,26
e,  2008-02-27,22
e,  2008-02-28,23
e,  2008-02-29,20
e,  2008-03-01,21
e,  2008-03-02,20
e,  2008-03-03,19
e,  2008-03-04,17
e,  2008-03-05,20
e,  2008-03-06,20
e,  2008-03-07,22
e,  2008-03-08,24
e,  2008-03-09,23
e,  2008-03-10,25
e,  2008-03-11,23
e,  2008-03-12,22
e,  2008-03-13,21
e,  2008-03-14,22
e,  2008-03-15,21
e,  2008-03-16,21
e,  2008-03-17,21
e,  2008-03-18,25
e,  2008-03-19,25
e,  2008-03-20,25
e,  2008-03-21,24
e,  2008-03-22,26
e,  2008-03-23,27
e,  2008-03-24,28
e,  2008-03-25,30
e,  2008-03-26,28
e,  2008-03-27,27
e,  2008-03-28,29
e,  2008-03-29,29
e,  2008-03-30,30
e,  2008-03-31,31
e,  2008-04-01,31
e,  2008-04-02,34
e,  2008-04-03,35
e,  2008-04-04,39
e,  2008-04-05,40
e,  2008-04-06,40
e,  2008-04-07,40
e,  2008-04-08,40
e,  2008-04-09,40
e,  2008-04-10,39
e,  2008-04-11,40
e,  2008-04-12,42
e,  2008-04-13,44
e,  2008-04-14,44
e,  2008-04-15,44
e,  2008-04-16,43
e,  2008-04-17,42
e,  2008-04-18,42
e,  2008-04-19,41
e,  2008-04-20,42
e,  2008-04-21,43
e,  2008-04-22,43
e,  2008-04-23,45
e,  2008-04-24,45
e,  2008-04-25,45
e,  2008-04-26,45
e,  2008-04-27,46
e,  2008-04-28,46
e,  2008-04-29,47
e,  2008-04-30,49
e,  2008-05-01,49
e,  2008-05-02,51
e,  2008-05-03,52
e,  2008-05-04,53
e,  2008-05-05,53
e,  2008-05-06,53
e,  2008-05-07,53
e,  2008-05-08,53
e,  2008-05-09,56
e,  2008-05-10,56
e,  2008-05-11,56
e,  2008-05-12,57
e,  2008-05-13,57
e,  2008-05-14,56
e,  2008-05-15,56
e,  2008-05-16,57
e,  2008-05-17,56
e,  2008-05-18,56
e,  2008-05-19,56
e,  2008-05-20,56
e,  2008-05-21,58
e,  2008-05-22,58
e,  2008-05-23,58
e,  2008-05-24,59
e,  2008-05-25,59
e,  2008-05-26,58
e,  2008-05-27,58
e,  2008-05-28,57
e,  2008-05-29,58
e,  2008-05-30,59
