Stage,Date,OpenBugs
e,2005-01-05,0
e,  2005-01-06,0
e,  2005-01-07,1
e,  2005-01-08,1
e,  2005-01-09,1
e,  2005-01-10,1
e,  2005-01-11,1
e,  2005-01-12,1
e,  2005-01-13,1
e,  2005-01-14,2
e,  2005-01-15,2
e,  2005-01-16,3
e,  2005-01-17,3
e,  2005-01-18,4
e,  2005-01-19,4
e,  2005-01-20,4
e,  2005-01-21,4
e,  2005-01-22,4
e,  2005-01-23,4
e,  2005-01-24,4
e,  2005-01-25,5
e,  2005-01-26,5
e,  2005-01-27,5
e,  2005-01-28,5
e,  2005-01-29,5
e,  2005-01-30,5
e,  2005-01-31,5
e,  2005-02-01,5
e,  2005-02-02,5
e,  2005-02-03,5
e,  2005-02-04,5
e,  2005-02-05,6
e,  2005-02-06,5
e,  2005-02-07,5
e,  2005-02-08,6
e,  2005-02-09,6
e,  2005-02-10,8
e,  2005-02-11,9
e,  2005-02-12,9
e,  2005-02-13,9
e,  2005-02-14,9
e,  2005-02-15,9
e,  2005-02-16,9
e,  2005-02-17,10
e,  2005-02-18,10
e,  2005-02-19,10
e,  2005-02-20,10
e,  2005-02-21,10
e,  2005-02-22,10
e,  2005-02-23,10
e,  2005-02-24,10
e,  2005-02-25,10
e,  2005-02-26,10
e,  2005-02-27,10
e,  2005-02-28,10
e,  2005-03-01,11
e,  2005-03-02,11
e,  2005-03-03,11
e,  2005-03-04,11
e,  2005-03-05,11
e,2005-03-06,11
e,  2005-03-07,11
e,  2005-03-08,12
e,  2005-03-09,13
e,  2005-03-10,13
e,  2005-03-11,13
e,  2005-03-12,13
e,  2005-03-13,13
e,  2005-03-14,13
e,  2005-03-15,14
e,  2005-03-16,14
e,  2005-03-17,14
e,  2005-03-18,14
e,  2005-03-19,15
e,  2005-03-20,14
e,  2005-03-21,14
e,  2005-03-22,16
e,  2005-03-23,16
e,  2005-03-24,16
e,  2005-03-25,16
e,  2005-03-26,17
e,  2005-03-27,17
e,  2005-03-28,17
e,  2005-03-29,17
e,  2005-03-30,17
e,  2005-03-31,17
e,  2005-04-01,17
e,  2005-04-02,17
e,  2005-04-03,17
e,  2005-04-04,17
e,  2005-04-05,18
e,  2005-04-06,17
e,  2005-04-07,17
e,  2005-04-08,17
e,  2005-04-09,18
e,  2005-04-10,18
e,  2005-04-11,18
e,  2005-04-12,19
e,  2005-04-13,19
e,  2005-04-14,19
e,  2005-04-15,19
e,  2005-04-16,19
e,  2005-04-17,19
e,  2005-04-18,19
e,  2005-04-19,19
e,  2005-04-20,19
e,  2005-04-21,20
e,  2005-04-22,20
e,  2005-04-23,21
e,  2005-04-24,21
e,  2005-04-25,21
e,  2005-04-26,21
e,  2005-04-27,21
e,  2005-04-28,21
e,  2005-04-29,21
e,  2005-04-30,21
e,  2005-05-01,22
l,2006-04-12,0
l,  2006-04-13,2
l,  2006-04-14,3
l,  2006-04-15,3
l,  2006-04-16,3
l,  2006-04-17,3
l,  2006-04-18,3
l,  2006-04-19,3
l,  2006-04-20,3
l,  2006-04-21,3
l,  2006-04-22,3
l,  2006-04-23,3
l,  2006-04-24,3
l,  2006-04-25,3
l,  2006-04-26,3
l,  2006-04-27,3
l,  2006-04-28,3
l,  2006-04-29,3
l,  2006-04-30,3
l,  2006-05-01,3
l,  2006-05-02,3
l,  2006-05-03,3
l,  2006-05-04,3
l,  2006-05-05,3
l,  2006-05-06,4
l,  2006-05-07,4
l,  2006-05-08,4
l,  2006-05-09,6
l,  2006-05-10,4
l,  2006-05-11,5
l,  2006-05-12,5
l,  2006-05-13,5
l,  2006-05-14,5
l,  2006-05-15,5
l,  2006-05-16,3
l,  2006-05-17,3
l,  2006-05-18,3
l,  2006-05-19,3
l,  2006-05-20,3
l,  2006-05-21,3
l,  2006-05-22,4
l,  2006-05-23,3
l,  2006-05-24,3
l,  2006-05-25,3
l,  2006-05-26,3
l,  2006-05-27,3
l,  2006-05-28,3
l,  2006-05-29,3
l,  2006-05-30,3
l,  2006-05-31,3
l,  2006-06-01,2
l,  2006-06-02,2
l,  2006-06-03,2
l,  2006-06-04,2
l,  2006-06-05,2
l,  2006-06-06,3
l,  2006-06-07,4
l,  2006-06-08,4
l,  2006-06-09,4
l,  2006-06-10,4
l,  2006-06-11,4
l,  2006-06-12,5
l,  2006-06-13,4
l,  2006-06-14,4
l,  2006-06-15,3
l,  2006-06-16,3
l,  2006-06-17,3
l,  2006-06-18,3
l,  2006-06-19,3
l,  2006-06-20,3
l,  2006-06-21,3
l,  2006-06-22,3
l,  2006-06-23,3
l,  2006-06-24,3
l,  2006-06-25,3
l,  2006-06-26,3
l,  2006-06-27,4
l,  2006-06-28,4
l,  2006-06-29,4
l,  2006-06-30,4
l,  2006-07-01,4
l,  2006-07-02,4
l,  2006-07-03,4
l,  2006-07-04,4
l,  2006-07-05,4
l,  2006-07-06,4
l,  2006-07-07,4
l,  2006-07-08,4
l,  2006-07-09,4
l,  2006-07-10,4
l,  2006-07-11,5
l,  2006-07-12,4
l,  2006-07-13,5
l,  2006-07-14,4
l,  2006-07-15,4
l,  2006-07-16,4
l,  2006-07-17,4
l,  2006-07-18,4
l,  2006-07-19,4
l,  2006-07-20,4
l,  2006-07-21,4
l,  2006-07-22,4
l,  2006-07-23,4
l,  2006-07-24,5
l,  2006-07-25,5
l,  2006-07-26,5
l,  2006-07-27,5
l,  2006-07-28,5
l,  2006-07-29,5
l,  2006-07-30,5
l,  2006-07-31,5
l,  2006-08-01,5
l,  2006-08-02,5
l,  2006-08-03,6
l,  2006-08-04,6
l,  2006-08-05,6
l,  2006-08-06,6
