Stage,Date,OpenBugs
e,2006-07-03,0
e,  2006-07-04,0
e,  2006-07-05,0
e,  2006-07-06,0
e,  2006-07-07,0
e,  2006-07-08,0
e,  2006-07-09,1
e,  2006-07-10,1
e,  2006-07-11,0
e,  2006-07-12,0
e,  2006-07-13,0
e,  2006-07-14,0
e,  2006-07-15,0
e,  2006-07-16,0
e,  2006-07-17,0
e,  2006-07-18,0
e,  2006-07-19,0
e,  2006-07-20,0
e,  2006-07-21,0
e,  2006-07-22,0
e,  2006-07-23,0
e,  2006-07-24,0
e,  2006-07-25,0
e,  2006-07-26,0
e,  2006-07-27,0
e,  2006-07-28,0
e,  2006-07-29,0
e,  2006-07-30,0
e,  2006-07-31,0
e,  2006-08-01,0
e,  2006-08-02,0
e,  2006-08-03,0
e,  2006-08-04,0
e,  2006-08-05,1
e,  2006-08-06,1
e,  2006-08-07,1
e,  2006-08-08,1
e,  2006-08-09,1
e,  2006-08-10,1
e,  2006-08-11,1
e,  2006-08-12,1
e,  2006-08-13,1
e,  2006-08-14,1
e,  2006-08-15,1
e,  2006-08-16,2
e,  2006-08-17,3
e,  2006-08-18,3
e,  2006-08-19,3
e,  2006-08-20,3
e,  2006-08-21,3
e,  2006-08-22,3
e,  2006-08-23,3
e,  2006-08-24,3
e,  2006-08-25,3
e,  2006-08-26,3
e,  2006-08-27,3
e,  2006-08-28,3
e,  2006-08-29,4
e,  2006-08-30,3
e,  2006-08-31,4
e,  2006-09-01,4
e,  2006-09-02,4
e,  2006-09-03,5
e,  2006-09-04,5
e,  2006-09-05,5
e,  2006-09-06,5
e,  2006-09-07,5
e,  2006-09-08,5
e,  2006-09-09,5
e,  2006-09-10,5
e,  2006-09-11,5
e,  2006-09-12,5
e,  2006-09-13,5
e,  2006-09-14,5
e,  2006-09-15,5
e,  2006-09-16,5
e,  2006-09-17,5
e,  2006-09-18,5
e,  2006-09-19,5
e,  2006-09-20,7
e,  2006-09-21,8
e,  2006-09-22,8
e,  2006-09-23,8
e,  2006-09-24,8
e,  2006-09-25,8
e,  2006-09-26,8
e,  2006-09-27,8
e,  2006-09-28,9
e,  2006-09-29,9
e,  2006-09-30,9
e,  2006-10-01,9
e,  2006-10-02,9
e,  2006-10-03,12
e,  2006-10-04,11
e,  2006-10-05,11
e,  2006-10-06,12
e,  2006-10-07,13
e,  2006-10-08,13
e,  2006-10-09,13
e,  2006-10-10,10
e,  2006-10-11,9
e,  2006-10-12,9
e,  2006-10-13,9
e,  2006-10-14,9
e,  2006-10-15,9
e,  2006-10-16,10
e,  2006-10-17,11
e,  2006-10-18,11
e,  2006-10-19,11
e,  2006-10-20,11
e,  2006-10-21,11
e,  2006-10-22,11
e,  2006-10-23,11
e,  2006-10-24,11
e,  2006-10-25,10
e,  2006-10-26,10
e,  2006-10-27,10
e,  2006-10-28,10
e,  2006-10-29,10
e,  2006-10-30,10
e,  2006-10-31,11
e,  2006-11-01,11
e,  2006-11-02,11
e,  2006-11-03,11
e,  2006-11-04,14
e,  2006-11-05,14
e,  2006-11-06,14
e,  2006-11-07,13
e,  2006-11-08,13
e,  2006-11-09,13
e,  2006-11-10,13
e,  2006-11-11,11
e,  2006-11-12,11
e,  2006-11-13,11
e,  2006-11-14,13
e,  2006-11-15,14
e,  2006-11-16,14
e,  2006-11-17,14
e,  2006-11-18,14
e,  2006-11-19,14
e,  2006-11-20,14
e,  2006-11-21,14
e,  2006-11-22,14
e,  2006-11-23,14
e,  2006-11-24,14
e,  2006-11-25,14
e,  2006-11-26,14
e,  2006-11-27,14
e,  2006-11-28,14
e,  2006-11-29,15
e,  2006-11-30,16
e,  2006-12-01,16
e,  2006-12-02,16
e,  2006-12-03,16
e,  2006-12-04,17
e,  2006-12-05,18
e,  2006-12-06,18
e,  2006-12-07,19
e,  2006-12-08,19
e,  2006-12-09,19
e,  2006-12-10,19
e,  2006-12-11,20
e,  2006-12-12,18
e,  2006-12-13,18
e,  2006-12-14,18
e,  2006-12-15,18
e,  2006-12-16,18
e,  2006-12-17,18
e,  2006-12-18,20
e,  2006-12-19,20
e,  2006-12-20,20
e,  2006-12-21,20
e,  2006-12-22,20
e,  2006-12-23,20
e,  2006-12-24,20
e,  2006-12-25,21
e,  2006-12-26,21
e,  2006-12-27,22
e,  2006-12-28,23
e,  2006-12-29,24
e,  2006-12-30,24
e,  2006-12-31,24
e,  2007-01-01,24
e,  2007-01-02,25
e,  2007-01-03,25
e,  2007-01-04,25
e,  2007-01-05,25
e,  2007-01-06,25
e,  2007-01-07,26
e,  2007-01-08,21
e,  2007-01-09,21
e,  2007-01-10,20
e,  2007-01-11,20
e,  2007-01-12,23
e,  2007-01-13,25
e,  2007-01-14,25
e,  2007-01-15,25
e,  2007-01-16,25
e,  2007-01-17,26
e,  2007-01-18,28
e,  2007-01-19,28
e,  2007-01-20,28
e,  2007-01-21,28
e,  2007-01-22,28
e,  2007-01-23,28
e,  2007-01-24,28
e,  2007-01-25,28
e,  2007-01-26,28
e,  2007-01-27,28
e,  2007-01-28,28
e,  2007-01-29,28
e,  2007-01-30,28
e,  2007-01-31,28
e,  2007-02-01,28
e,  2007-02-02,28
e,  2007-02-03,28
e,  2007-02-04,28
e,  2007-02-05,28
e,  2007-02-06,28
e,  2007-02-07,28
e,  2007-02-08,28
e,  2007-02-09,28
e,  2007-02-10,28
e,  2007-02-11,28
e,  2007-02-12,28
e,  2007-02-13,28
e,  2007-02-14,28
e,  2007-02-15,28
e,  2007-02-16,28
e,  2007-02-17,29
e,  2007-02-18,29
e,  2007-02-19,29
e,  2007-02-20,29
e,  2007-02-21,30
e,  2007-02-22,30
e,  2007-02-23,31
e,  2007-02-24,31
e,  2007-02-25,31
e,  2007-02-26,31
e,  2007-02-27,31
e,  2007-02-28,31
e,  2007-03-01,30
e,  2007-03-02,30
e,  2007-03-03,30
e,  2007-03-04,30
e,  2007-03-05,30
e,  2007-03-06,30
e,  2007-03-07,30
e,  2007-03-08,30
e,  2007-03-09,30
e,  2007-03-10,30
e,  2007-03-11,31
e,  2007-03-12,31
e,  2007-03-13,31
e,  2007-03-14,31
e,  2007-03-15,31
e,  2007-03-16,31
e,  2007-03-17,31
e,  2007-03-18,31
e,  2007-03-19,32
e,  2007-03-20,32
e,  2007-03-21,32
e,  2007-03-22,34
e,  2007-03-23,34
e,  2007-03-24,33
e,  2007-03-25,33
e,  2007-03-26,33
e,  2007-03-27,34
e,  2007-03-28,34
e,  2007-03-29,35
e,  2007-03-30,35
e,  2007-03-31,35
e,  2007-04-01,35
e,  2007-04-02,35
e,  2007-04-03,35
e,  2007-04-04,35
e,  2007-04-05,35
e,  2007-04-06,36
e,  2007-04-07,36
e,  2007-04-08,37
e,  2007-04-09,37
e,  2007-04-10,37
e,  2007-04-11,37
e,  2007-04-12,38
e,  2007-04-13,38
e,  2007-04-14,37
e,  2007-04-15,37
l,2009-02-25,0
l,  2009-02-26,0
l,  2009-02-27,0
l,  2009-02-28,0
l,  2009-03-01,0
l,  2009-03-02,0
l,  2009-03-03,0
l,  2009-03-04,0
l,  2009-03-05,1
l,  2009-03-06,1
l,  2009-03-07,2
l,  2009-03-08,2
l,  2009-03-09,2
l,  2009-03-10,2
l,  2009-03-11,2
l,  2009-03-12,2
l,  2009-03-13,2
l,  2009-03-14,3
l,  2009-03-15,3
l,  2009-03-16,3
l,  2009-03-17,3
l,  2009-03-18,3
l,  2009-03-19,3
l,  2009-03-20,3
l,  2009-03-21,3
l,  2009-03-22,3
l,  2009-03-23,3
l,  2009-03-24,3
l,  2009-03-25,3
l,  2009-03-26,3
l,  2009-03-27,3
l,  2009-03-28,3
l,  2009-03-29,3
l,  2009-03-30,3
l,  2009-03-31,4
l,  2009-04-01,4
l,  2009-04-02,4
l,  2009-04-03,4
l,  2009-04-04,5
l,  2009-04-05,5
l,  2009-04-06,5
l,  2009-04-07,5
l,  2009-04-08,5
l,  2009-04-09,5
l,  2009-04-10,5
l,  2009-04-11,5
l,  2009-04-12,5
l,  2009-04-13,5
l,  2009-04-14,5
l,  2009-04-15,5
l,  2009-04-16,5
l,  2009-04-17,5
l,  2009-04-18,6
l,  2009-04-19,6
l,  2009-04-20,6
l,  2009-04-21,6
l,  2009-04-22,6
l,  2009-04-23,6
l,  2009-04-24,4
l,  2009-04-25,4
l,  2009-04-26,4
l,  2009-04-27,4
l,  2009-04-28,4
l,  2009-04-29,4
l,  2009-04-30,4
l,  2009-05-01,4
l,  2009-05-02,4
l,  2009-05-03,4
l,  2009-05-04,4
l,  2009-05-05,4
l,  2009-05-06,4
l,  2009-05-07,5
l,  2009-05-08,5
l,  2009-05-09,5
l,  2009-05-10,5
l,  2009-05-11,5
l,  2009-05-12,6
l,  2009-05-13,6
l,  2009-05-14,7
l,  2009-05-15,7
l,  2009-05-16,7
l,  2009-05-17,7
l,  2009-05-18,7
l,  2009-05-19,7
l,  2009-05-20,7
l,  2009-05-21,7
l,  2009-05-22,5
l,  2009-05-23,5
l,  2009-05-24,5
l,  2009-05-25,6
l,  2009-05-26,6
l,  2009-05-27,6
l,  2009-05-28,6
l,  2009-05-29,6
l,  2009-05-30,6
l,  2009-05-31,6
l,  2009-06-01,6
l,  2009-06-02,6
l,  2009-06-03,6
l,  2009-06-04,6
l,  2009-06-05,6
l,  2009-06-06,6
l,  2009-06-07,7
l,  2009-06-08,7
l,  2009-06-09,6
l,  2009-06-10,6
l,  2009-06-11,5
l,  2009-06-12,5
l,  2009-06-13,5
l,  2009-06-14,5
l,  2009-06-15,5
l,  2009-06-16,5
l,  2009-06-17,5
l,  2009-06-18,5
l,  2009-06-19,5
l,  2009-06-20,5
l,  2009-06-21,5
l,  2009-06-22,5
l,  2009-06-23,5
l,  2009-06-24,5
l,  2009-06-25,5
l,  2009-06-26,6
l,  2009-06-27,6
l,  2009-06-28,7
l,  2009-06-29,6
l,  2009-06-30,6
l,  2009-07-01,5
l,  2009-07-02,5
l,  2009-07-03,5
l,  2009-07-04,6
l,  2009-07-05,6
l,  2009-07-06,6
l,  2009-07-07,6
l,  2009-07-08,6
l,  2009-07-09,6
l,  2009-07-10,7
l,  2009-07-11,7
l,  2009-07-12,7
l,  2009-07-13,7
l,  2009-07-14,8
l,  2009-07-15,8
l,  2009-07-16,7
l,  2009-07-17,7
l,  2009-07-18,7
l,  2009-07-19,7
l,  2009-07-20,7
l,  2009-07-21,7
l,  2009-07-22,7
l,  2009-07-23,7
l,  2009-07-24,7
l,  2009-07-25,8
l,  2009-07-26,8
l,  2009-07-27,8
l,  2009-07-28,10
l,  2009-07-29,10
l,  2009-07-30,11
l,  2009-07-31,11
l,  2009-08-01,11
l,  2009-08-02,11
l,  2009-08-03,9
l,  2009-08-04,10
l,  2009-08-05,9
l,  2009-08-06,9
l,  2009-08-07,9
l,  2009-08-08,10
l,  2009-08-09,10
l,  2009-08-10,9
l,  2009-08-11,10
l,  2009-08-12,10
l,  2009-08-13,10
l,  2009-08-14,11
l,  2009-08-15,10
l,  2009-08-16,10
l,  2009-08-17,10
l,  2009-08-18,10
l,  2009-08-19,10
l,  2009-08-20,11
l,  2009-08-21,11
l,  2009-08-22,11
l,  2009-08-23,11
l,  2009-08-24,11
l,  2009-08-25,10
l,  2009-08-26,10
l,  2009-08-27,11
l,  2009-08-28,11
l,  2009-08-29,11
l,  2009-08-30,12
l,  2009-08-31,12
l,  2009-09-01,12
l,  2009-09-02,12
l,  2009-09-03,12
l,  2009-09-04,12
l,  2009-09-05,12
l,  2009-09-06,12
l,  2009-09-07,12
l,  2009-09-08,12
l,  2009-09-09,12
l,  2009-09-10,12
l,  2009-09-11,12
l,  2009-09-12,12
l,  2009-09-13,13
l,  2009-09-14,13
l,  2009-09-15,13
l,  2009-09-16,14
l,  2009-09-17,14
l,  2009-09-18,14
l,  2009-09-19,14
l,  2009-09-20,14
l,  2009-09-21,15
l,  2009-09-22,15
l,  2009-09-23,16
l,  2009-09-24,17
l,  2009-09-25,17
l,  2009-09-26,17
l,  2009-09-27,17
l,  2009-09-28,17
l,  2009-09-29,17
l,  2009-09-30,17
l,  2009-10-01,17
l,  2009-10-02,19
l,  2009-10-03,19
l,  2009-10-04,19
l,  2009-10-05,19
l,  2009-10-06,19
l,  2009-10-07,18
l,  2009-10-08,19
l,  2009-10-09,19
l,  2009-10-10,20
l,  2009-10-11,20
l,  2009-10-12,19
l,  2009-10-13,19
l,  2009-10-14,19
l,  2009-10-15,19
l,  2009-10-16,19
l,  2009-10-17,19
l,  2009-10-18,19
l,  2009-10-19,19
l,  2009-10-20,19
l,  2009-10-21,19
l,  2009-10-22,19
l,  2009-10-23,19
l,  2009-10-24,19
l,  2009-10-25,19
l,  2009-10-26,21
l,  2009-10-27,20
l,  2009-10-28,20
l,  2009-10-29,20
l,  2009-10-30,21
l,  2009-10-31,21
l,  2009-11-01,21
l,  2009-11-02,21
l,  2009-11-03,22
l,  2009-11-04,22
l,  2009-11-05,22
l,  2009-11-06,22
l,  2009-11-07,22
l,  2009-11-08,22
l,  2009-11-09,22
l,  2009-11-10,22
l,  2009-11-11,22
l,  2009-11-12,22
l,  2009-11-13,22
l,  2009-11-14,21
l,  2009-11-15,21
l,  2009-11-16,22
l,  2009-11-17,21
l,  2009-11-18,21
l,  2009-11-19,21
l,  2009-11-20,21
l,  2009-11-21,22
l,  2009-11-22,22
l,  2009-11-23,22
l,  2009-11-24,22
l,  2009-11-25,23
l,  2009-11-26,23
l,  2009-11-27,22
l,2009-11-28,22
l,  2009-11-29,22
l,  2009-11-30,23
l,  2009-12-01,23
l,  2009-12-02,23
l,  2009-12-03,23
l,  2009-12-04,23
l,  2009-12-05,23
l,  2009-12-06,23
l,  2009-12-07,23
l,  2009-12-08,23
