Stage,Date,OpenBugs
e,2007-04-02,0
e,  2007-04-03,0
e,  2007-04-04,1
e,  2007-04-05,3
e,  2007-04-06,3
e,  2007-04-07,3
e,  2007-04-08,3
e,  2007-04-09,3
e,  2007-04-10,3
e,  2007-04-11,5
e,  2007-04-12,5
e,  2007-04-13,5
e,  2007-04-14,7
e,  2007-04-15,7
e,  2007-04-16,7
e,  2007-04-17,8
e,  2007-04-18,8
e,  2007-04-19,8
e,  2007-04-20,10
e,  2007-04-21,10
e,  2007-04-22,10
e,  2007-04-23,10
e,  2007-04-24,10
e,  2007-04-25,16
e,  2007-04-26,17
e,  2007-04-27,20
e,  2007-04-28,20
e,  2007-04-29,20
e,  2007-04-30,20
e,  2007-05-01,20
e,  2007-05-02,23
e,  2007-05-03,24
e,  2007-05-04,24
e,  2007-05-05,25
e,  2007-05-06,25
e,  2007-05-07,25
e,  2007-05-08,25
e,  2007-05-09,25
e,  2007-05-10,25
e,  2007-05-11,28
e,  2007-05-12,30
e,  2007-05-13,30
e,  2007-05-14,30
e,  2007-05-15,32
e,  2007-05-16,32
e,  2007-05-17,32
e,  2007-05-18,32
e,  2007-05-19,32
e,  2007-05-20,32
e,  2007-05-21,32
e,  2007-05-22,33
e,  2007-05-23,34
e,  2007-05-24,37
e,  2007-05-25,37
e,  2007-05-26,37
e,  2007-05-27,37
e,  2007-05-28,38
e,  2007-05-29,39
e,  2007-05-30,40
e,  2007-05-31,40
e,  2007-06-01,40
e,  2007-06-02,40
e,  2007-06-03,40
e,  2007-06-04,40
e,  2007-06-05,40
e,  2007-06-06,40
e,  2007-06-07,40
e,  2007-06-08,40
e,  2007-06-09,40
e,  2007-06-10,40
e,  2007-06-11,40
e,  2007-06-12,40
e,  2007-06-13,41
e,  2007-06-14,42
e,  2007-06-15,42
e,  2007-06-16,42
e,  2007-06-17,42
e,  2007-06-18,42
e,  2007-06-19,42
e,  2007-06-20,44
e,  2007-06-21,44
e,  2007-06-22,44
e,  2007-06-23,44
e,  2007-06-24,44
e,  2007-06-25,44
e,  2007-06-26,44
e,  2007-06-27,45
e,  2007-06-28,45
e,  2007-06-29,45
e,  2007-06-30,46
e,  2007-07-01,46
e,  2007-07-02,46
e,  2007-07-03,47
e,  2007-07-04,47
e,  2007-07-05,49
e,  2007-07-06,49
e,  2007-07-07,49
e,  2007-07-08,49
e,  2007-07-09,49
e,  2007-07-10,49
e,  2007-07-11,49
e,  2007-07-12,49
e,  2007-07-13,49
e,  2007-07-14,49
e,  2007-07-15,49
e,  2007-07-16,49
e,  2007-07-17,49
e,  2007-07-18,49
e,  2007-07-19,49
e,  2007-07-20,49
e,  2007-07-21,49
e,  2007-07-22,49
e,  2007-07-23,49
e,  2007-07-24,51
e,  2007-07-25,52
e,  2007-07-26,52
e,  2007-07-27,52
e,  2007-07-28,52
e,  2007-07-29,52
e,  2007-07-30,52
e,  2007-07-31,52
e,  2007-08-01,52
e,  2007-08-02,52
e,  2007-08-03,52
e,  2007-08-04,53
e,  2007-08-05,53
e,  2007-08-06,53
e,  2007-08-07,55
e,  2007-08-08,55
e,  2007-08-09,55
e,  2007-08-10,56
