Stage,Date,OpenBugs
e,2006-06-01,0
e,  2006-06-02,0
e,  2006-06-03,-3
e,  2006-06-04,-5
e,  2006-06-05,-5
e,  2006-06-06,-4
e,  2006-06-07,-4
e,  2006-06-08,-5
e,  2006-06-09,-5
e,  2006-06-10,-5
e,  2006-06-11,-5
e,  2006-06-12,-5
e,  2006-06-13,-4
e,  2006-06-14,-5
e,  2006-06-15,-5
e,  2006-06-16,-4
e,  2006-06-17,-3
e,  2006-06-18,-3
e,  2006-06-19,-3
e,  2006-06-20,-2
e,  2006-06-21,-2
e,  2006-06-22,0
e,  2006-06-23,1
e,  2006-06-24,1
e,  2006-06-25,1
e,  2006-06-26,1
e,  2006-06-27,1
e,  2006-06-28,1
e,  2006-06-29,1
e,  2006-06-30,1
e,  2006-07-01,1
e,  2006-07-02,1
e,  2006-07-03,2
e,  2006-07-04,3
e,  2006-07-05,4
e,  2006-07-06,4
e,  2006-07-07,4
e,  2006-07-08,4
e,  2006-07-09,4
e,  2006-07-10,4
e,  2006-07-11,5
e,  2006-07-12,6
e,  2006-07-13,6
e,  2006-07-14,7
e,  2006-07-15,7
e,  2006-07-16,5
e,  2006-07-17,5
e,  2006-07-18,5
e,  2006-07-19,5
e,  2006-07-20,6
e,  2006-07-21,6
e,  2006-07-22,6
e,  2006-07-23,6
e,  2006-07-24,9
e,  2006-07-25,9
e,  2006-07-26,9
e,  2006-07-27,9
e,  2006-07-28,9
e,  2006-07-29,9
e,  2006-07-30,9
e,  2006-07-31,9
e,  2006-08-01,10
e,  2006-08-02,10
e,  2006-08-03,12
e,  2006-08-04,12
e,  2006-08-05,13
e,  2006-08-06,13
e,  2006-08-07,13
e,  2006-08-08,13
e,  2006-08-09,14
e,  2006-08-10,14
e,  2006-08-11,14
e,  2006-08-12,16
e,  2006-08-13,16
e,  2006-08-14,16
e,  2006-08-15,16
e,  2006-08-16,16
e,  2006-08-17,16
e,  2006-08-18,16
e,  2006-08-19,15
e,  2006-08-20,15
e,  2006-08-21,15
e,  2006-08-22,15
e,  2006-08-23,15
e,  2006-08-24,14
e,  2006-08-25,14
e,  2006-08-26,15
e,  2006-08-27,15
e,  2006-08-28,15
e,  2006-08-29,15
e,  2006-08-30,15
e,  2006-08-31,19
e,  2006-09-01,20
e,  2006-09-02,21
e,  2006-09-03,21
e,  2006-09-04,21
e,  2006-09-05,22
e,  2006-09-06,23
e,  2006-09-07,24
e,  2006-09-08,25
e,  2006-09-09,25
e,  2006-09-10,25
e,  2006-09-11,25
e,  2006-09-12,27
e,  2006-09-13,28
e,  2006-09-14,28
e,  2006-09-15,28
