Stage,Date,OpenBugs
e,2005-07-11,0
e,  2005-07-11,0
e,  2005-07-12,2
e,  2005-07-13,2
e,  2005-07-14,2
e,  2005-07-15,3
e,  2005-07-16,3
e,  2005-07-17,3
e,  2005-07-18,3
e,  2005-07-19,3
e,  2005-07-20,3
e,  2005-07-21,3
e,  2005-07-22,4
e,  2005-07-23,4
e,  2005-07-24,4
e,  2005-07-25,4
e,  2005-07-26,4
e,  2005-07-27,7
e,  2005-07-28,8
e,  2005-07-29,5
e,  2005-07-30,5
e,  2005-07-31,5
e,  2005-08-01,5
e,  2005-08-02,5
e,  2005-08-03,6
e,  2005-08-04,6
e,  2005-08-05,6
e,  2005-08-06,6
e,  2005-08-07,6
e,  2005-08-08,6
e,  2005-08-09,7
e,  2005-08-10,7
e,  2005-08-11,8
e,  2005-08-12,10
e,  2005-08-13,10
e,  2005-08-14,10
e,  2005-08-15,10
e,  2005-08-16,12
e,  2005-08-17,11
e,  2005-08-18,11
e,  2005-08-19,12
e,  2005-08-20,14
e,  2005-08-21,14
e,  2005-08-22,14
e,  2005-08-23,14
e,  2005-08-24,14
e,  2005-08-25,16
e,  2005-08-26,15
e,  2005-08-27,16
e,  2005-08-28,16
e,  2005-08-29,16
e,  2005-08-30,16
e,  2005-08-31,17
e,  2005-09-01,15
e,  2005-09-02,15
e,  2005-09-03,16
e,  2005-09-04,16
e,  2005-09-05,16
e,  2005-09-06,19
e,  2005-09-07,19
e,  2005-09-08,19
e,  2005-09-09,19
e,  2005-09-10,20
e,  2005-09-11,20
e,  2005-09-12,20
e,  2005-09-13,22
e,  2005-09-14,21
e,  2005-09-15,22
e,  2005-09-16,23
e,  2005-09-17,22
e,  2005-09-18,23
e,  2005-09-19,23
e,  2005-09-20,22
e,  2005-09-21,23
e,  2005-09-22,23
e,  2005-09-23,23
e,  2005-09-24,23
e,  2005-09-25,24
e,  2005-09-26,25
e,  2005-09-27,25
e,  2005-09-28,25
e,  2005-09-29,25
e,  2005-09-30,25
e,  2005-10-01,25
e,  2005-10-02,25
e,  2005-10-03,25
e,  2005-10-04,26
e,  2005-10-05,26
e,  2005-10-06,26
e,  2005-10-07,26
e,  2005-10-08,27
e,  2005-10-09,31
e,  2005-10-10,31
e,  2005-10-11,32
e,  2005-10-12,31
e,  2005-10-13,33
e,  2005-10-14,33
e,  2005-10-15,34
e,  2005-10-16,34
e,  2005-10-17,34
e,  2005-10-18,34
e,  2005-10-19,34
e,  2005-10-20,34
e,  2005-10-21,34
e,  2005-10-22,34
e,  2005-10-23,34
e,  2005-10-24,34
e,  2005-10-25,38
e,  2005-10-26,37
e,  2005-10-27,37
e,  2005-10-28,36
e,  2005-10-29,35
e,  2005-10-30,35
e,  2005-10-31,35
e,  2005-11-01,36
e,  2005-11-02,36
e,  2005-11-03,37
e,  2005-11-04,36
e,  2005-11-05,36
e,  2005-11-06,37
e,  2005-11-07,37
e,  2005-11-08,35
e,  2005-11-09,35
e,  2005-11-10,34
e,  2005-11-11,35
e,  2005-11-12,35
e,  2005-11-13,35
e,  2005-11-14,35
e,  2005-11-15,34
e,  2005-11-16,34
e,  2005-11-17,35
e,  2005-11-18,35
e,  2005-11-19,37
e,  2005-11-20,37
e,  2005-11-21,37
e,  2005-11-22,37
e,  2005-11-23,37
e,  2005-11-24,38
e,  2005-11-25,41
e,  2005-11-26,41
e,  2005-11-27,41
e,  2005-11-28,41
e,  2005-11-29,43
e,  2005-11-30,43
e,  2005-12-01,45
e,  2005-12-02,45
e,  2005-12-03,45
e,  2005-12-04,45
e,  2005-12-05,45
e,  2005-12-06,45
e,  2005-12-07,45
e,  2005-12-08,44
e,  2005-12-09,45
e,  2005-12-10,44
e,  2005-12-11,44
e,  2005-12-12,44
e,  2005-12-13,45
e,  2005-12-14,45
e,  2005-12-15,46
e,  2005-12-16,48
e,  2005-12-17,48
e,  2005-12-18,48
e,  2005-12-19,48
e,  2005-12-20,48
e,  2005-12-21,48
e,  2005-12-22,48
e,  2005-12-23,48
e,  2005-12-24,48
e,  2005-12-25,48
e,  2005-12-26,48
e,  2005-12-27,48
e,  2005-12-28,48
e,  2005-12-29,49
e,  2005-12-30,50
e,  2005-12-31,50
e,  2006-01-01,50
e,  2006-01-02,50
e,  2006-01-03,50
e,  2006-01-04,50
e,  2006-01-05,52
e,  2006-01-06,51
e,  2006-01-07,51
e,  2006-01-08,51
e,  2006-01-09,51
e,  2006-01-10,51
e,  2006-01-11,52
e,  2006-01-12,52
e,  2006-01-13,50
e,  2006-01-14,50
e,  2006-01-15,50
e,  2006-01-16,50
e,  2006-01-17,50
e,  2006-01-18,50
e,  2006-01-19,50
e,  2006-01-20,49
e,  2006-01-21,50
e,  2006-01-22,50
e,  2006-01-23,50
e,  2006-01-24,51
e,  2006-01-25,51
e,  2006-01-26,53
e,  2006-01-27,49
e,  2006-01-28,50
e,  2006-01-29,50
e,  2006-01-30,50
e,  2006-01-31,53
e,  2006-02-01,55
e,  2006-02-02,57
e,  2006-02-03,55
e,  2006-02-04,55
e,  2006-02-05,56
e,  2006-02-06,56
e,  2006-02-07,56
e,  2006-02-08,56
e,  2006-02-09,57
e,  2006-02-10,59
e,  2006-02-11,59
e,  2006-02-12,59
e,  2006-02-13,60
e,  2006-02-14,60
e,  2006-02-15,59
e,  2006-02-16,59
e,  2006-02-17,59
e,  2006-02-18,58
e,  2006-02-19,58
e,  2006-02-20,59
e,  2006-02-21,60
e,  2006-02-22,62
e,  2006-02-23,62
e,  2006-02-24,63
e,  2006-02-25,63
e,  2006-02-26,63
e,  2006-02-27,63
e,  2006-02-28,63
e,  2006-03-01,63
e,  2006-03-02,64
e,  2006-03-03,65
e,  2006-03-04,65
e,  2006-03-05,65
e,  2006-03-06,65
e,  2006-03-07,66
e,  2006-03-08,66
e,  2006-03-09,67
e,  2006-03-10,66
e,  2006-03-11,67
e,  2006-03-12,70
e,  2006-03-13,70
e,  2006-03-14,69
e,  2006-03-15,69
e,  2006-03-16,68
e,  2006-03-17,68
e,  2006-03-18,73
e,  2006-03-19,73
e,  2006-03-20,73
e,  2006-03-21,71
e,  2006-03-22,71
e,  2006-03-23,71
e,  2006-03-24,72
e,  2006-03-25,72
e,  2006-03-26,73
e,  2006-03-27,73
e,  2006-03-28,70
e,  2006-03-29,71
e,  2006-03-30,71
e,  2006-03-31,71
e,  2006-04-01,72
e,  2006-04-02,72
e,  2006-04-03,72
e,  2006-04-04,72
e,  2006-04-05,72
e,  2006-04-06,72
e,  2006-04-07,72
e,  2006-04-08,73
e,  2006-04-09,73
e,  2006-04-10,73
e,  2006-04-11,73
