Stage,Date,OpenBugs
e,2005-06-04,0
e,  2005-08-05,0
e,  2005-08-06,1
e,  2005-08-07,2
e,  2005-08-08,2
e,  2005-08-09,2
e,  2005-08-10,2
e,  2005-08-11,2
e,  2005-08-12,2
e,  2005-08-13,2
e,  2005-08-14,2
e,  2005-08-15,2
e,  2005-08-16,2
e,  2005-08-17,2
e,  2005-08-18,4
e,  2005-08-19,7
e,  2005-08-20,7
e,  2005-08-21,5
e,  2005-08-22,5
e,  2005-08-23,2
e,  2005-08-24,1
e,  2005-08-25,3
e,  2005-08-26,3
e,  2005-08-27,4
e,  2005-08-28,4
e,  2005-08-29,4
e,  2005-08-30,4
e,  2005-08-31,4
e,  2005-09-01,6
e,  2005-09-02,6
e,  2005-09-03,6
e,  2005-09-04,6
e,  2005-09-05,6
e,  2005-09-06,6
e,  2005-09-07,6
e,  2005-09-08,7
e,  2005-09-09,8
e,  2005-09-10,8
e,  2005-09-11,9
e,  2005-09-12,9
e,  2005-09-13,10
e,  2005-09-14,10
e,  2005-09-15,11
e,  2005-09-16,12
e,  2005-09-17,12
e,  2005-09-18,12
e,  2005-09-19,12
e,  2005-09-20,13
e,  2005-09-21,13
e,  2005-09-22,13
e,  2005-09-23,14
e,  2005-09-24,16
e,  2005-09-25,17
e,  2005-09-26,18
e,  2005-09-27,18
e,  2005-09-28,18
e,  2005-09-29,18
e,  2005-09-30,20
e,  2005-10-01,20
e,  2005-10-02,20
e,  2005-10-03,20
e,  2005-10-04,20
e,  2005-10-05,20
e,  2005-10-06,20
e,  2005-10-07,20
e,  2005-10-08,21
e,  2005-10-09,21
e,  2005-10-10,21
e,  2005-10-11,21
e,  2005-10-12,21
e,  2005-10-13,21
e,  2005-10-14,21
e,  2005-10-15,21
e,  2005-10-16,21
e,  2005-10-17,21
e,  2005-10-18,23
e,  2005-10-19,24
e,  2005-10-20,22
e,  2005-10-21,23
e,  2005-10-22,23
e,  2005-10-23,23
e,  2005-10-24,23
e,  2005-10-25,22
e,  2005-10-26,22
e,  2005-10-27,22
e,  2005-10-28,23
e,  2005-10-29,24
e,  2005-10-30,24
e,  2005-10-31,24
e,  2005-11-01,24
e,  2005-11-02,24
e,  2005-11-03,24
e,  2005-11-04,25
e,  2005-11-05,26
e,  2005-11-06,26
e,  2005-11-07,27
e,  2005-11-08,27
e,  2005-11-09,27
e,  2005-11-10,27
e,  2005-11-11,28
e,  2005-11-12,27
e,  2005-11-13,27
e,  2005-11-14,27
e,  2005-11-15,27
e,  2005-11-16,28
e,  2005-11-17,28
e,  2005-11-18,28
e,  2005-11-19,28
e,  2005-11-20,28
e,  2005-11-21,28
e,  2005-11-22,28
e,  2005-11-23,28
e,  2005-11-24,29
e,  2005-11-25,29
e,  2005-11-26,30
e,  2005-11-27,30
e,  2005-11-28,30
e,  2005-11-29,31
e,  2005-11-30,31
e,  2005-12-01,31
e,  2005-12-02,36
e,  2005-12-03,35
e,  2005-12-04,34
e,  2005-12-05,34
e,  2005-12-06,35
e,  2005-12-07,35
e,  2005-12-08,35
e,  2005-12-09,36
e,  2005-12-10,36
e,  2005-12-11,37
e,  2005-12-12,38
e,  2005-12-13,37
e,  2005-12-14,37
e,  2005-12-15,37
e,  2005-12-16,36
e,  2005-12-17,37
e,  2005-12-18,37
e,  2005-12-19,37
e,  2005-12-20,37
e,  2005-12-21,37
e,  2005-12-22,37
e,  2005-12-23,38
e,  2005-12-24,39
e,  2005-12-25,39
e,  2005-12-26,39
e,  2005-12-27,39
e,  2005-12-28,39
e,  2005-12-29,40
e,  2005-12-30,40
e,  2005-12-31,39
e,  2006-01-01,39
e,  2006-01-02,39
e,  2006-01-03,40
e,  2006-01-04,41
e,  2006-01-05,42
e,  2006-01-06,43
e,  2006-01-07,43
e,  2006-01-08,43
e,  2006-01-09,43
e,  2006-01-10,44
e,  2006-01-11,44
e,  2006-01-12,45
e,  2006-01-13,45
e,  2006-01-14,45
e,  2006-01-15,45
e,  2006-01-16,45
e,  2006-01-17,45
e,  2006-01-18,45
e,  2006-01-19,47
e,  2006-01-20,47
e,  2006-01-21,47
e,  2006-01-22,47
e,  2006-01-23,47
e,  2006-01-24,46
e,  2006-01-25,46
e,  2006-01-26,45
e,  2006-01-27,42
e,  2006-01-28,42
e,  2006-01-29,41
e,  2006-01-30,41
e,  2006-01-31,41
e,  2006-02-01,41
e,  2006-02-02,42
e,  2006-02-03,42
e,  2006-02-04,42
e,  2006-02-05,42
e,  2006-02-06,43
e,  2006-02-07,43
e,  2006-02-08,47
e,  2006-02-09,50
e,  2006-02-10,51
e,  2006-02-11,51
e,  2006-02-12,51
e,  2006-02-13,51
e,  2006-02-14,51
e,  2006-02-15,50
e,  2006-02-16,51
e,  2006-02-17,53
e,  2006-02-18,53
e,  2006-02-19,53
e,  2006-02-20,53
e,  2006-02-21,53
e,  2006-02-22,53
e,  2006-02-23,53
e,  2006-02-24,53
e,  2006-02-25,53
e,  2006-02-26,53
e,  2006-02-27,53
e,  2006-02-28,53
e,  2006-03-01,53
e,  2006-03-02,54
e,  2006-03-03,53
e,  2006-03-04,53
e,  2006-03-05,53
e,  2006-03-06,53
e,  2006-03-07,53
e,  2006-03-08,56
e,  2006-03-09,56
e,  2006-03-10,56
e,  2006-03-11,56
e,  2006-03-12,56
e,  2006-03-13,56
e,  2006-03-14,56
e,  2006-03-15,56
e,  2006-03-16,57
e,  2006-03-17,54
e,  2006-03-18,54
e,  2006-03-19,56
e,  2006-03-20,56
e,  2006-03-21,56
e,  2006-03-22,56
e,  2006-03-23,56
e,  2006-03-24,56
e,  2006-03-25,56
e,  2006-03-26,56
e,  2006-03-27,56
e,  2006-03-28,56
e,  2006-03-29,56
e,  2006-03-30,57
e,  2006-03-31,57
e,  2006-04-01,57
e,  2006-04-02,57
e,  2006-04-03,57
e,  2006-04-04,57
e,  2006-04-05,57
e,  2006-04-06,57
e,  2006-04-07,57
e,  2006-04-08,57
e,  2006-04-09,57
e,  2006-04-10,57
e,  2006-04-11,57
e,  2006-04-12,57
e,  2006-04-13,57
e,  2006-04-14,57
e,  2006-04-15,57
e,  2006-04-16,57
e,  2006-04-17,57
e,  2006-04-18,57
e,  2006-04-19,57
e,  2006-04-20,57
e,  2006-04-21,57
e,  2006-04-22,57
e,  2006-04-23,57
e,  2006-04-24,57
e,  2006-04-25,57
e,  2006-04-26,57
e,  2006-04-27,57
e,  2006-04-28,56
e,  2006-04-29,56
e,  2006-04-30,54
e,  2006-05-01,54
e,  2006-05-02,54
e,  2006-05-03,54
e,  2006-05-04,54
e,  2006-05-05,54
e,  2006-05-06,54
e,  2006-05-07,54
e,  2006-05-08,54
e,  2006-05-09,54
e,  2006-05-10,54
e,  2006-05-11,54
e,  2006-05-12,54
e,  2006-05-13,54
e,  2006-05-14,54
e,  2006-05-15,54
e,  2006-05-16,54
e,  2006-05-17,55
e,  2006-05-18,54
e,  2006-05-19,54
e,  2006-05-20,54
e,  2006-05-21,54
e,  2006-05-22,54
e,  2006-05-23,54
e,  2006-05-24,54
e,  2006-05-25,54
e,  2006-05-26,54
e,  2006-05-27,54
e,  2006-05-28,54
e,  2006-05-29,54
e,  2006-05-30,55
e,  2006-05-31,57
e,  2006-06-01,57
e,  2006-06-02,57
e,  2006-06-03,57
l,2009-11-26,0
l,  2009-11-27,0
l,  2009-11-28,0
l,  2009-11-29,0
l,  2009-11-30,0
l,  2009-12-01,0
l,  2009-12-02,0
l,  2009-12-03,0
l,  2009-12-04,0
l,  2009-12-05,0
l,  2009-12-06,0
l,  2009-12-07,0
l,  2009-12-08,-2
l,  2009-12-09,0
l,  2009-12-10,0
l,  2009-12-11,1
l,  2009-12-12,1
l,  2009-12-13,1
l,  2009-12-14,1
l,  2009-12-15,1
l,  2009-12-16,1
l,  2009-12-17,1
l,  2009-12-18,1
l,  2009-12-19,1
l,  2009-12-20,1
l,  2009-12-21,1
l,  2009-12-22,1
l,  2009-12-23,2
l,  2009-12-24,2
l,  2009-12-25,2
l,  2009-12-26,2
l,  2009-12-27,2
l,  2009-12-28,2
l,  2009-12-29,2
l,  2009-12-30,2
l,  2009-12-31,2
l,  2010-01-01,2
l,  2010-01-02,2
l,  2010-01-03,2
l,  2010-01-04,2
l,  2010-01-05,2
l,  2010-01-06,2
l,  2010-01-07,2
l,  2010-01-08,3
l,  2010-01-09,3
l,  2010-01-10,3
l,  2010-01-11,3
l,  2010-01-12,4
l,  2010-01-13,5
l,  2010-01-14,5
l,  2010-01-15,5
l,  2010-01-16,5
l,  2010-01-17,5
