Stage,Date,OpenBugs
e,2007-03-01,0
e,  2007-03-02,0
e,  2007-03-03,1
e,  2007-03-04,1
e,  2007-03-05,2
e,  2007-03-06,2
e,  2007-03-07,3
e,  2007-03-08,3
e,  2007-03-09,3
e,  2007-03-10,3
e,  2007-03-11,4
e,  2007-03-12,4
e,  2007-03-13,5
e,  2007-03-14,5
e,  2007-03-15,5
e,  2007-03-16,5
e,  2007-03-17,5
e,  2007-03-18,5
e,  2007-03-19,5
e,  2007-03-20,6
e,  2007-03-21,6
e,  2007-03-22,6
e,  2007-03-23,6
e,  2007-03-24,7
e,  2007-03-25,7
e,  2007-03-26,7
e,  2007-03-27,15
e,  2007-03-28,16
e,  2007-03-29,17
e,  2007-03-30,17
e,  2007-03-31,19
e,  2007-04-01,20
e,  2007-04-02,20
e,  2007-04-03,20
e,  2007-04-04,20
e,  2007-04-05,20
e,  2007-04-06,23
e,  2007-04-07,23
e,  2007-04-08,23
e,  2007-04-09,23
e,  2007-04-10,23
e,  2007-04-11,23
e,  2007-04-12,23
e,  2007-04-13,23
e,  2007-04-14,23
e,  2007-04-15,23
e,  2007-04-16,24
e,  2007-04-17,26
e,  2007-04-18,27
e,  2007-04-19,29
e,  2007-04-20,29
e,  2007-04-21,29
e,  2007-04-22,29
e,  2007-04-23,29
e,  2007-04-24,30
e,  2007-04-25,32
e,  2007-04-26,33
e,  2007-04-27,33
e,  2007-04-28,34
e,  2007-04-29,34
e,  2007-04-30,34
e,  2007-05-01,34
e,  2007-05-02,35
e,  2007-05-03,35
e,  2007-05-04,36
e,  2007-05-05,36
e,  2007-05-06,36
e,  2007-05-07,36
e,  2007-05-08,37
e,  2007-05-09,38
e,  2007-05-10,39
e,  2007-05-11,40
e,  2007-05-12,41
e,  2007-05-13,41
e,  2007-05-14,41
e,  2007-05-15,41
e,  2007-05-16,41
e,  2007-05-17,41
e,  2007-05-18,41
e,  2007-05-19,42
e,  2007-05-20,43
e,  2007-05-21,46
e,  2007-05-22,47
e,  2007-05-23,48
e,  2007-05-24,48
e,  2007-05-25,48
e,  2007-05-26,49
e,  2007-05-27,49
e,  2007-05-28,49
e,  2007-05-29,51
e,  2007-05-30,52
e,  2007-05-31,52
e,  2007-06-01,53
e,  2007-06-02,55
e,  2007-06-03,55
e,  2007-06-04,55
e,  2007-06-05,55
e,  2007-06-06,55
e,  2007-06-07,55
e,  2007-06-08,55
e,  2007-06-09,55
e,  2007-06-10,55
e,  2007-06-11,55
e,  2007-06-12,55
e,  2007-06-13,56
e,  2007-06-14,58
e,  2007-06-15,58
e,  2007-06-16,59
e,  2007-06-17,58
e,  2007-06-18,58
e,  2007-06-19,58
e,  2007-06-20,58
e,  2007-06-21,59
e,  2007-06-22,61
e,  2007-06-23,61
e,  2007-06-24,61
e,  2007-06-25,61
e,  2007-06-26,61
e,  2007-06-27,61
e,  2007-06-28,61
e,  2007-06-29,61
e,  2007-06-30,63
e,  2007-07-01,63
e,  2007-07-02,64
e,  2007-07-03,64
e,  2007-07-04,65
e,  2007-07-05,65
e,  2007-07-06,65
e,  2007-07-07,65
e,  2007-07-08,65
e,  2007-07-09,65
e,  2007-07-10,67
e,  2007-07-11,68
e,  2007-07-12,69
e,  2007-07-13,69
e,  2007-07-14,69
e,  2007-07-15,69
e,  2007-07-16,69
e,  2007-07-17,69
e,  2007-07-18,70
e,  2007-07-19,70
e,  2007-07-20,71
e,  2007-07-21,71
e,  2007-07-22,71
e,  2007-07-23,72
e,  2007-07-24,72
e,  2007-07-25,72
e,  2007-07-26,72
e,  2007-07-27,72
e,  2007-07-28,72
e,  2007-07-29,72
e,  2007-07-30,72
e,  2007-07-31,72
e,  2007-08-01,72
e,  2007-08-02,73
e,  2007-08-03,73
e,  2007-08-04,73
e,  2007-08-05,73
e,  2007-08-06,73
e,  2007-08-07,74
