Stage,Date,OpenBugs
e,2005-07-10,0
e,  2005-07-11,0
e,  2005-07-12,0
e,  2005-07-13,0
e,  2005-07-14,1
e,  2005-07-15,2
e,  2005-07-16,3
e,  2005-07-17,2
e,  2005-07-18,2
e,  2005-07-19,3
e,  2005-07-20,3
e,  2005-07-21,4
e,  2005-07-22,5
e,  2005-07-23,5
e,  2005-07-24,5
e,  2005-07-25,5
e,  2005-07-26,6
e,  2005-07-27,9
e,  2005-07-28,10
e,  2005-07-29,10
e,  2005-07-30,11
e,  2005-07-31,11
e,  2005-08-01,11
e,  2005-08-02,10
e,  2005-08-03,11
e,  2005-08-04,11
e,  2005-08-05,11
e,  2005-08-06,12
e,  2005-08-07,13
e,  2005-08-08,14
e,  2005-08-09,18
e,  2005-08-10,21
e,  2005-08-11,20
e,  2005-08-12,21
e,  2005-08-13,25
e,  2005-08-14,25
e,  2005-08-15,26
e,  2005-08-16,27
e,  2005-08-17,30
e,  2005-08-18,33
e,  2005-08-19,35
e,  2005-08-20,38
e,  2005-08-21,38
e,  2005-08-22,39
e,  2005-08-23,41
e,  2005-08-24,41
e,  2005-08-25,42
e,  2005-08-26,43
e,  2005-08-27,44
e,  2005-08-28,44
e,  2005-08-29,44
e,  2005-08-30,44
e,  2005-08-31,44
e,  2005-09-01,40
e,  2005-09-02,43
e,  2005-09-03,43
e,  2005-09-04,43
e,  2005-09-05,43
e,  2005-09-06,44
e,  2005-09-07,46
e,  2005-09-08,41
e,  2005-09-09,41
e,  2005-09-10,40
e,  2005-09-11,41
e,  2005-09-12,41
e,  2005-09-13,41
e,  2005-09-14,45
e,  2005-09-15,46
e,  2005-09-16,48
e,  2005-09-17,48
e,  2005-09-18,48
e,  2005-09-19,48
e,  2005-09-20,49
e,  2005-09-21,51
e,  2005-09-22,51
e,  2005-09-23,52
e,  2005-09-24,51
e,  2005-09-25,53
e,  2005-09-26,53
e,  2005-09-27,54
e,  2005-09-28,55
e,  2005-09-29,55
e,  2005-09-30,58
e,  2005-10-01,60
e,  2005-10-02,57
e,  2005-10-03,59
e,  2005-10-04,60
e,  2005-10-05,60
e,  2005-10-06,59
e,  2005-10-07,59
e,  2005-10-08,62
e,  2005-10-09,62
e,  2005-10-10,62
e,  2005-10-11,62
e,  2005-10-12,62
e,  2005-10-13,63
e,  2005-10-14,63
e,  2005-10-15,64
e,  2005-10-16,64
e,  2005-10-17,64
e,  2005-10-18,65
e,  2005-10-19,67
e,  2005-10-20,68
e,  2005-10-21,68
e,  2005-10-22,67
e,  2005-10-23,65
e,  2005-10-24,65
e,  2005-10-25,64
e,  2005-10-26,66
e,  2005-10-27,67
e,  2005-10-28,69
e,  2005-10-29,69
e,  2005-10-30,69
e,  2005-10-31,70
e,  2005-11-01,71
e,  2005-11-02,71
e,  2005-11-03,72
e,  2005-11-04,73
e,  2005-11-05,73
e,  2005-11-06,71
e,  2005-11-07,71
e,  2005-11-08,72
e,  2005-11-09,73
e,  2005-11-10,74
e,  2005-11-11,74
e,  2005-11-12,74
e,  2005-11-13,75
e,  2005-11-14,75
e,  2005-11-15,75
e,  2005-11-16,76
e,  2005-11-17,75
e,  2005-11-18,78
e,  2005-11-19,78
e,  2005-11-20,78
e,  2005-11-21,77
e,  2005-11-22,77
e,  2005-11-23,78
e,  2005-11-24,76
e,  2005-11-25,71
e,  2005-11-26,71
e,  2005-11-27,71
e,  2005-11-28,72
e,  2005-11-29,75
e,  2005-11-30,78
e,  2005-12-01,78
e,  2005-12-02,80
e,  2005-12-03,83
e,  2005-12-04,86
e,  2005-12-05,88
e,  2005-12-06,86
e,  2005-12-07,85
e,  2005-12-08,86
e,  2005-12-09,86
e,  2005-12-10,86
e,  2005-12-11,86
e,  2005-12-12,86
e,  2005-12-13,86
e,  2005-12-14,88
e,  2005-12-15,90
e,  2005-12-16,90
e,  2005-12-17,91
e,  2005-12-18,91
e,  2005-12-19,91
e,  2005-12-20,91
e,  2005-12-21,92
e,  2005-12-22,92
e,  2005-12-23,92
e,  2005-12-24,94
e,  2005-12-25,94
e,  2005-12-26,94
e,  2005-12-27,95
e,  2005-12-28,93
e,  2005-12-29,94
e,  2005-12-30,94
e,  2005-12-31,91
e,  2006-01-01,91
e,  2006-01-02,91
e,  2006-01-03,92
e,  2006-01-04,90
e,  2006-01-05,90
e,  2006-01-06,92
e,  2006-01-07,92
e,  2006-01-08,91
e,  2006-01-09,92
e,  2006-01-10,92
e,  2006-01-11,92
e,  2006-01-12,93
e,  2006-01-13,95
e,  2006-01-14,97
e,  2006-01-15,97
e,  2006-01-16,97
e,  2006-01-17,97
e,  2006-01-18,97
e,  2006-01-19,97
e,  2006-01-20,96
e,  2006-01-21,97
e,  2006-01-22,98
e,  2006-01-23,98
e,  2006-01-24,97
e,  2006-01-25,98
e,  2006-01-26,99
e,  2006-01-27,100
e,  2006-01-28,100
e,  2006-01-29,97
e,  2006-01-30,97
e,  2006-01-31,98
e,  2006-02-01,98
e,  2006-02-02,99
e,  2006-02-03,97
e,  2006-02-04,95
e,  2006-02-05,96
e,  2006-02-06,96
e,  2006-02-07,95
e,  2006-02-08,95
e,  2006-02-09,95
e,  2006-02-10,97
e,  2006-02-11,97
e,  2006-02-12,97
e,  2006-02-13,98
e,  2006-02-14,96
e,  2006-02-15,96
e,  2006-02-16,96
e,  2006-02-17,96
e,  2006-02-18,97,
e,  2006-02-19,96,
e,  2006-02-20,97,
e,  2006-02-21,99,
e,  2006-02-22,99,
e,  2006-02-23,100,
e,  2006-02-24,100,
e,  2006-02-25,100,
e,  2006-02-26,100,
e,  2006-02-27,100,
e,  2006-02-28,100,
e,  2006-03-01,101,
e,  2006-03-02,101,
e,  2006-03-03,101,
l,21-9-09,0, 
l,  2009-09-22,0,
l,  2009-09-23,-1
l,  2009-09-24,-2
l,  2009-09-25,-2
l,  2009-09-26,-2
l,  2009-09-27,-2
l,  2009-09-28,-3
l,  2009-09-29,-1
l,  2009-09-30,-2
l,  2009-10-01,-2
l,  2009-10-02,-3
l,  2009-10-03,-3
l,  2009-10-04,-3
l,  2009-10-05,-3
l,  2009-10-06,-3
l,  2009-10-07,-3
l,  2009-10-08,-2
l,  2009-10-09,-2
l,  2009-10-10,-2
l,  2009-10-11,-2
l,  2009-10-12,-2
l,  2009-10-13,-1
l,  2009-10-14,-1
l,  2009-10-15,1
l,  2009-10-16,1
l,  2009-10-17,1
l,  2009-10-18,1
l,  2009-10-19,1
l,  2009-10-20,1
l,  2009-10-21,1
l,  2009-10-22,1
l,  2009-10-23,1
l,  2009-10-24,1
l,  2009-10-25,1
l,  2009-10-26,1
l,  2009-10-27,2
l,  2009-10-28,2
l,  2009-10-29,3
l,  2009-10-30,3
l,  2009-10-31,3
l,  2009-11-01,3
l,  2009-11-02,3
l,  2009-11-03,3
l,  2009-11-04,3
l,  2009-11-05,5
l,  2009-11-06,4
l,  2009-11-07,6
l,  2009-11-08,6
l,  2009-11-09,6
l,  2009-11-10,6
l,  2009-11-11,3
l,  2009-11-12,4
l,  2009-11-13,5
l,  2009-11-14,5
l,  2009-11-15,5
l,  2009-11-16,3
l,  2009-11-17,3
l,  2009-11-18,5
l,  2009-11-19,6
l,  2009-11-20,6
l,  2009-11-21,6
l,  2009-11-22,5
l,  2009-11-23,5
l,  2009-11-24,5
l,  2009-11-25,5
l,  2009-11-26,5
l,  2009-11-27,5
l,  2009-11-28,5
