Stage,Date,OpenBugs
e,2005-07-10,0
e,  2005-07-11,0
e,  2005-07-12,0
e,  2005-07-13,0
e,  2005-07-14,0
e,  2005-07-15,0
e,  2005-07-16,1
e,  2005-07-17,1
e,  2005-07-18,1
e,  2005-07-19,1
e,  2005-07-20,2
e,  2005-07-21,2
e,  2005-07-22,2
e,  2005-07-23,2
e,  2005-07-24,2
e,  2005-07-25,2
e,  2005-07-26,2
e,  2005-07-27,2
e,  2005-07-28,2
e,  2005-07-29,3
e,  2005-07-30,3
e,  2005-07-31,5
e,  2005-08-01,6
e,  2005-08-02,6
e,  2005-08-03,6
e,  2005-08-04,8
e,  2005-08-05,11
e,  2005-08-06,11
e,  2005-08-07,11
e,  2005-08-08,11
e,  2005-08-09,15
e,  2005-08-10,15
e,  2005-08-11,12
e,  2005-08-12,13
e,  2005-08-13,12
e,  2005-08-14,12
e,  2005-08-15,13
e,  2005-08-16,12
e,  2005-08-17,12
e,  2005-08-18,13
e,  2005-08-19,15
e,  2005-08-20,14
e,  2005-08-21,13
e,  2005-08-22,12
e,  2005-08-23,12
e,  2005-08-24,12
e,  2005-08-25,12
e,  2005-08-26,12
e,  2005-08-27,12
e,  2005-08-28,14
e,  2005-08-29,15
e,  2005-08-30,15
e,  2005-08-31,16
e,  2005-09-01,14
e,  2005-09-02,14
e,  2005-09-03,19
e,  2005-09-04,20
e,  2005-09-05,20
e,  2005-09-06,16
e,  2005-09-07,14
e,  2005-09-08,15
e,  2005-09-09,14
e,  2005-09-10,14
e,  2005-09-11,14
e,  2005-09-12,15
e,  2005-09-13,14
e,  2005-09-14,14
e,  2005-09-15,14
e,  2005-09-16,16
e,  2005-09-17,15
e,  2005-09-18,15
e,  2005-09-19,15
e,  2005-09-20,14
e,  2005-09-21,14
e,  2005-09-22,14
e,  2005-09-23,14
e,  2005-09-24,14
e,  2005-09-25,14
e,  2005-09-26,14
e,  2005-09-27,14
e,  2005-09-28,14
e,  2005-09-29,14
e,  2005-09-30,14
e,  2005-10-01,15
e,  2005-10-02,15
e,  2005-10-03,15
e,  2005-10-04,15
e,  2005-10-05,14
e,  2005-10-06,17
e,  2005-10-07,18
e,  2005-10-08,18
e,  2005-10-09,18
e,  2005-10-10,19
e,  2005-10-11,16
e,  2005-10-12,16
e,  2005-10-13,16
e,  2005-10-14,16
e,  2005-10-15,16
e,  2005-10-16,16
e,  2005-10-17,17
e,  2005-10-18,19
e,  2005-10-19,19
e,  2005-10-20,21
e,  2005-10-21,21
e,  2005-10-22,21
e,  2005-10-23,21
e,  2005-10-24,21
e,  2005-10-25,20
e,  2005-10-26,21
e,  2005-10-27,22
e,  2005-10-28,22
e,  2005-10-29,22
e,  2005-10-30,22
e,  2005-10-31,23
e,  2005-11-01,23
e,  2005-11-02,23
e,  2005-11-03,25
e,  2005-11-04,25
e,  2005-11-05,25
e,  2005-11-06,25
e,  2005-11-07,25
e,  2005-11-08,25
e,  2005-11-09,24
e,  2005-11-10,20
e,  2005-11-11,21
e,  2005-11-12,21
e,  2005-11-13,21
e,  2005-11-14,21
e,  2005-11-15,20
e,  2005-11-16,22
e,  2005-11-17,23
e,  2005-11-18,23
e,  2005-11-19,23
e,  2005-11-20,23
e,  2005-11-21,23
e,  2005-11-22,24
e,  2005-11-23,24
e,  2005-11-24,24
e,  2005-11-25,22
e,  2005-11-26,23
e,  2005-11-27,23
e,  2005-11-28,23
e,  2005-11-29,23
e,  2005-11-30,23
e,  2005-12-01,24
e,  2005-12-02,25
e,  2005-12-03,25
e,  2005-12-04,25
e,  2005-12-05,25
e,  2005-12-06,25
e,  2005-12-07,26
e,  2005-12-08,26
e,  2005-12-09,25
e,  2005-12-10,25
e,  2005-12-11,25
e,  2005-12-12,25
e,  2005-12-13,29
e,  2005-12-14,27
e,  2005-12-15,27
e,  2005-12-16,26
e,  2005-12-17,25
e,  2005-12-18,25
e,  2005-12-19,25
e,  2005-12-20,25
e,  2005-12-21,25
e,  2005-12-22,26
e,  2005-12-23,26
e,  2005-12-24,26
e,  2005-12-25,26
e,  2005-12-26,26
e,  2005-12-27,27
e,  2005-12-28,29
e,  2005-12-29,27
e,  2005-12-30,27
e,  2005-12-31,26
e,  2006-01-01,26
e,  2006-01-02,28
e,  2006-01-03,29
e,  2006-01-04,29
e,  2006-01-05,29
e,  2006-01-06,29
e,  2006-01-07,29
e,  2006-01-08,28
e,  2006-01-09,28
e,  2006-01-10,28
e,  2006-01-11,26
e,  2006-01-12,26
e,  2006-01-13,27
e,  2006-01-14,28
e,  2006-01-15,27
e,  2006-01-16,28
e,  2006-01-17,28
e,  2006-01-18,28
e,  2006-01-19,28
e,  2006-01-20,28
e,  2006-01-21,28
e,  2006-01-22,29
e,  2006-01-23,29
e,  2006-01-24,28
e,  2006-01-25,28
e,  2006-01-26,26
e,  2006-01-27,26
e,  2006-01-28,26
e,  2006-01-29,26
e,  2006-01-30,28
e,  2006-01-31,29
e,  2006-02-01,28
e,  2006-02-02,28
e,  2006-02-03,26
e,  2006-02-04,26
e,  2006-02-05,27
e,  2006-02-06,27
e,  2006-02-07,27
e,  2006-02-08,27
e,  2006-02-09,26
e,  2006-02-10,26
e,  2006-02-11,25
e,  2006-02-12,25
e,  2006-02-13,24
e,  2006-02-14,24
e,  2006-02-15,24
e,  2006-02-16,24
e,  2006-02-17,24
e,  2006-02-18,24
e,  2006-02-19,24
e,  2006-02-20,24
e,  2006-02-21,29
e,  2006-02-22,28
e,  2006-02-23,28
e,  2006-02-24,28
e,  2006-02-25,26
e,  2006-02-26,25
e,  2006-02-27,25
e,  2006-02-28,25
e,  2006-03-01,25
e,  2006-03-02,26
e,  2006-03-03,26
e,  2006-03-04,26
e,  2006-03-05,26
e,  2006-03-06,26
e,  2006-03-07,27
e,  2006-03-08,28
e,  2006-03-09,28
e,  2006-03-10,28
e,  2006-03-11,28
e,  2006-03-12,28
e,  2006-03-13,28
e,  2006-03-14,29
e,  2006-03-15,29
e,  2006-03-16,29
e,  2006-03-17,29
e,  2006-03-18,29
e,  2006-03-19,29
e,  2006-03-20,29
e,  2006-03-21,30
e,  2006-03-22,30
e,  2006-03-23,33
e,  2006-03-24,31
e,  2006-03-25,31
e,  2006-03-26,31
e,  2006-03-27,31
e,  2006-03-28,32
e,  2006-03-29,32
e,  2006-03-30,32
e,  2006-03-31,32
e,  2006-04-01,32
e,  2006-04-02,33
e,  2006-04-03,33
e,  2006-04-04,34
e,  2006-04-05,34
e,  2006-04-06,36
e,  2006-04-07,36
e,  2006-04-08,36
e,  2006-04-09,35
e,  2006-04-10,35
e,  2006-04-11,32
e,  2006-04-12,32
e,  2006-04-13,33
e,  2006-04-14,35
e,  2006-04-15,35
e,  2006-04-16,35
e,  2006-04-17,35
e,  2006-04-18,35
e,  2006-04-19,34
e,  2006-04-20,34
e,  2006-04-21,35
e,  2006-04-22,34
e,  2006-04-23,34
e,  2006-04-24,33
e,  2006-04-25,33
e,  2006-04-26,33
e,  2006-04-27,36
e,  2006-04-28,36
e,  2006-04-29,37
e,  2006-04-30,37
e,  2006-05-01,37
e,  2006-05-02,37
e,  2006-05-03,37
e,  2006-05-04,35
e,  2006-05-05,35
e,  2006-05-06,35
e,  2006-05-07,36
e,  2006-05-08,34
e,  2006-05-09,34
e,  2006-05-10,34
e,  2006-05-11,34
e,  2006-05-12,36
e,  2006-05-13,36
e,  2006-05-14,36
