"ProjectName","EarlyStageStart","EarlyStageEnd","LateStageStart","LateStageEnd","StageLength","PathToCsv"
Mandriva_Linux,2007-11-14,2008-08-11,2010-02-01,2010-10-30,271,1_Mandriva.csv
Ant,2005-07-10,2006-03-03,2009-09-21,2010-05-15,236,2_Ant.csv
Apache_httpd_1.3,2005-01-05,2005-05-01,2006-04-12,2006-08-06,116,3_Apache.csv
BugZilla,2006-07-03,2007-04-15,2009-02-25,2009-12-08,286,4_Bugzilla.csv
Batik,2007-02-20,2007-09-11,2010-02-01,2010-08-23,162,5_Batek.csv
FOP,2005-07-10,2006-11-25,2009-08-15,2010-12-31,503,6_FOP.csv
Jmeter,2006-06-01,2007-01-11,2010-08-30,2011-04-11,224,7_JMeter.csv
Lenya,2005-07-10,2006-06-29,2008-10-20,2009-10-09,354,8_Lenya.csv
Log4j,2005-08-04,2006-06-03,2009-11-26,2010-09-25,303,9_Log4j.csv
Tomcat_5,2005-12-20,2006-02-10,2007-03-26,2007-05-17,52,10_Tomcat5.csv
Tomcat_6,2007-03-01,2008-02-01,2010-03-01,2011-02-01,337,11_Tomcat6.csv
